ISIN,US105756CA66,,
Coupon,4.5,,
Maturity,10 years,,
Start,2019,End,2029
,,,
time,date,close,
1623826800,16/06/2021,107.707,
1623913200,17/06/2021,107.286,
1623999600,18/06/2021,107.619,
1624258800,21/06/2021,107.647,
1624345200,22/06/2021,107.572,
1624431600,23/06/2021,107.532,
1624518000,24/06/2021,107.577,
1624604400,25/06/2021,107.618,
1624863600,28/06/2021,107.551,
1624950000,29/06/2021,107.314,
1625036400,30/06/2021,107.5,
1625122800,01/07/2021,107.213,
1625209200,02/07/2021,107.015,
1625468400,05/07/2021,106.906,
1625554800,06/07/2021,107.091,
1625641200,07/07/2021,107.124,
1625727600,08/07/2021,107.083,
1625814000,09/07/2021,106.857,
1626073200,12/07/2021,106.886,
1626159600,13/07/2021,106.879,
1626246000,14/07/2021,106.69,
1626332400,15/07/2021,106.908,
1626418800,16/07/2021,106.867,
1626678000,19/07/2021,106.904,
1626764400,20/07/2021,106.905,
1626850800,21/07/2021,106.911,
1626937200,22/07/2021,106.738,
1627023600,23/07/2021,106.782,
1627282800,26/07/2021,106.952,
1627369200,27/07/2021,106.92,
1627455600,28/07/2021,106.52,
1627542000,29/07/2021,106.627,
1627628400,30/07/2021,106.805,
1627887600,02/08/2021,107.017,
1627974000,03/08/2021,107.131,
1628060400,04/08/2021,107.05,
1628146800,05/08/2021,107.033,
1628233200,06/08/2021,106.701,
1628492400,09/08/2021,106.523,
1628578800,10/08/2021,106.238,
1628665200,11/08/2021,106.05,
1628751600,12/08/2021,106.141,
1628838000,13/08/2021,106.144,
1629097200,16/08/2021,106.298,
1629183600,17/08/2021,106.289,
1629270000,18/08/2021,106.132,
1629356400,19/08/2021,105.612,
1629442800,20/08/2021,105.657,
1629702000,23/08/2021,105.647,
1629788400,24/08/2021,105.744,
1629874800,25/08/2021,105.719,
1629961200,26/08/2021,105.605,
1630047600,27/08/2021,105.668,
1630306800,30/08/2021,105.975,
1630393200,31/08/2021,106.152,
1630479600,01/09/2021,106.017,
1630566000,02/09/2021,106.118,
1630652400,03/09/2021,106.17,
1630911600,06/09/2021,106.137,
1630998000,07/09/2021,106.037,
1631084400,08/09/2021,105.833,
1631170800,09/09/2021,105.533,
1631257200,10/09/2021,105.607,
1631516400,13/09/2021,105.721,
1631602800,14/09/2021,105.646,
1631689200,15/09/2021,105.8,
1631775600,16/09/2021,105.645,
1631862000,17/09/2021,105.552,
1632121200,20/09/2021,105.378,
1632207600,21/09/2021,105.141,
1632294000,22/09/2021,105.338,
1632380400,23/09/2021,105.215,
1632466800,24/09/2021,104.847,
1632812400,28/09/2021,103.961,
1632898800,29/09/2021,103.535,
1632985200,30/09/2021,103.417,
1633071600,01/10/2021,103.149,
1633330800,04/10/2021,102.991,
1633417200,05/10/2021,102.72,
1633503600,06/10/2021,102.5,
1633590000,07/10/2021,102.74,
1633676400,08/10/2021,102.688,
1633935600,11/10/2021,102.495,
1634022000,12/10/2021,102.463,
1634108400,13/10/2021,102.499,
1634194800,14/10/2021,102.656,
1634281200,15/10/2021,102.898,
1634540400,18/10/2021,102.653,
1634626800,19/10/2021,102.697,
1634713200,20/10/2021,102.216,
1634799600,21/10/2021,101.358,
1634886000,22/10/2021,100.605,
1635145200,25/10/2021,100.547,
1635231600,26/10/2021,101.062,
1635318000,27/10/2021,101.222,
1635404400,28/10/2021,101.217,
1635490800,29/10/2021,100.719,
1635753600,01/11/2021,99.866997,
1635840000,02/11/2021,99.579002,
1635926400,03/11/2021,99.549004,
1636012800,04/11/2021,100.43,
1636099200,05/11/2021,100.783,
1636358400,08/11/2021,101.112,
1636444800,09/11/2021,101.327,
1636531200,10/11/2021,101.308,
1636617600,11/11/2021,101.055,
1636704000,12/11/2021,100.93,
1636963200,15/11/2021,100.874,
1637049600,16/11/2021,100.714,
1637136000,17/11/2021,100.586,
1637222400,18/11/2021,100.545,
1637308800,19/11/2021,100.599,
1637568000,22/11/2021,100.536,
1637654400,23/11/2021,99.828003,
1637740800,24/11/2021,99.555,
1637827200,25/11/2021,99.459999,
1637913600,26/11/2021,99.188004,
1638172800,29/11/2021,99.005997,
1638259200,30/11/2021,99.475998,
1638345600,01/12/2021,100.139,
1638432000,02/12/2021,100.363,
1638518400,03/12/2021,100.85,
1638777600,06/12/2021,100.812,
1638864000,07/12/2021,101.007,
1638950400,08/12/2021,101.401,
1639036800,09/12/2021,101.271,
1639123200,10/12/2021,101.144,
1639382400,13/12/2021,101.22,
1639468800,14/12/2021,101.34,
1639555200,15/12/2021,101.289,
1639641600,16/12/2021,101.245,
1639728000,17/12/2021,101.46,
1639987200,20/12/2021,101.412,
1640073600,21/12/2021,101.545,
1640160000,22/12/2021,101.655,
1640246400,23/12/2021,101.796,
1640332800,24/12/2021,102.105,
1640592000,27/12/2021,101.954,
1640678400,28/12/2021,102.199,
1640764800,29/12/2021,102.414,
1640851200,30/12/2021,102.347,
1640937600,31/12/2021,102.42,
1641196800,03/01/2022,102.659,
1641283200,04/01/2022,102.093,
1641369600,05/01/2022,101.923,
1641456000,06/01/2022,100.771,
1641542400,07/01/2022,100.854,
1641801600,10/01/2022,100.168,
1641888000,11/01/2022,100.532,
1642060800,13/01/2022,100.546,
1642147200,14/01/2022,100.362,
1642406400,17/01/2022,100.228,
1642492800,18/01/2022,99.929001,
1642579200,19/01/2022,99.846001,
1642665600,20/01/2022,100.013,
1642752000,21/01/2022,100.112,
1643011200,24/01/2022,100.157,
1643097600,25/01/2022,99.836998,
1643184000,26/01/2022,100.018,
1643270400,27/01/2022,99.794998,
1643356800,28/01/2022,99.68,
1643616000,31/01/2022,99.679001,
1643702400,01/02/2022,99.755997,
1643788800,02/02/2022,99.922997,
1643875200,03/02/2022,100.344,
1643961600,04/02/2022,100.025,
1644220800,07/02/2022,99.241997,
1644307200,08/02/2022,99.245003,
1644393600,09/02/2022,99.530998,
1644480000,10/02/2022,99.426003,
1644566400,11/02/2022,98.653999,
1644825600,14/02/2022,98.335999,
1644912000,15/02/2022,98.105003,
1644998400,16/02/2022,98.172997,
1645084800,17/02/2022,98.241997,
1645171200,18/02/2022,98.226997,
1645430400,21/02/2022,98.265999,
1645516800,22/02/2022,98.207001,
1645603200,23/02/2022,98.056999,
1645689600,24/02/2022,97.142998,
1645776000,25/02/2022,98.413002,
1646035200,28/02/2022,98.440002,
1646121600,01/03/2022,99.238998,
1646208000,02/03/2022,99.358002,
1646294400,03/03/2022,98.882004,
1646380800,04/03/2022,98.986,
1646640000,07/03/2022,98.281998,
1646726400,08/03/2022,98.077003,
1646812800,09/03/2022,97.989998,
1646899200,10/03/2022,98.198997,
1646985600,11/03/2022,98.100998,
1647244800,14/03/2022,97.663002,
1647331200,15/03/2022,97.045998,
1647417600,16/03/2022,97.638,
1647504000,17/03/2022,97.861,
1647590400,18/03/2022,98.141998,
1647849600,21/03/2022,98.166,
1647936000,22/03/2022,97.819,
1648022400,23/03/2022,97.174004,
1648108800,24/03/2022,97.153999,
1648195200,25/03/2022,97.387001,
1648450800,28/03/2022,97.186996,
1648537200,29/03/2022,97.209999,
1648623600,30/03/2022,97.775002,
1648710000,31/03/2022,98.198997,
1648796400,01/04/2022,98.146004,
1649055600,04/04/2022,97.847,
1649142000,05/04/2022,97.933998,
1649228400,06/04/2022,96.875,
1649314800,07/04/2022,96.970001,
1649401200,08/04/2022,96.752998,
1649660400,11/04/2022,96.176003,
1649746800,12/04/2022,95.427002,
1649833200,13/04/2022,95.689003,
1649919600,14/04/2022,96.365997,
1650351600,19/04/2022,96.132004,
1650438000,20/04/2022,96.133003,
1650524400,21/04/2022,96.319,
1650610800,22/04/2022,95.749001,
1650870000,25/04/2022,95.279999,
1650956400,26/04/2022,96.410004,
1651042800,27/04/2022,96.138,
1651129200,28/04/2022,95.882004,
1651215600,29/04/2022,95.264,
1651474800,02/05/2022,94.383003,
1651561200,03/05/2022,94.336998,
1651647600,04/05/2022,94.554001,
1651734000,05/05/2022,95.181,
1651820400,06/05/2022,94.293999,
1652079600,09/05/2022,93.403,
1652166000,10/05/2022,93.392998,
1652252400,11/05/2022,93.477997,
1652338800,12/05/2022,93.831001,
1652425200,13/05/2022,93.639,
1652684400,16/05/2022,93.588997,
1652770800,17/05/2022,93.564003,
