ISIN,US105756CD06,,
Coupon,2.875,,
Maturity,5 Years,,
Start,2020,End,2025
,,,
time,date,close,
1661842800,30/08/2022,95.859001,
1661929200,31/08/2022,95.804001,
1662015600,01/09/2022,95.75,
1662102000,02/09/2022,95.772003,
1662361200,05/09/2022,95.920998,
1662447600,06/09/2022,95.878998,
1662534000,07/09/2022,95.765999,
1662620400,08/09/2022,95.999001,
1662706800,09/09/2022,96.058998,
1662966000,12/09/2022,96.155998,
1663052400,13/09/2022,96.134003,
1663138800,14/09/2022,95.644997,
1663225200,15/09/2022,95.536003,
1663311600,16/09/2022,95.389999,
1663570800,19/09/2022,95.304001,
1663657200,20/09/2022,95.202003,
1663743600,21/09/2022,95.101997,
1663830000,22/09/2022,95.008003,
1663916400,23/09/2022,94.398003,
1664175600,26/09/2022,93.710999,
1664262000,27/09/2022,93.514,
1664348400,28/09/2022,92.999001,
1664434800,29/09/2022,93.466003,
1664521200,30/09/2022,93.609001,
1664780400,03/10/2022,94.205002,
1664866800,04/10/2022,94.540001,
1664953200,05/10/2022,94.699997,
1665039600,06/10/2022,94.314003,
1665126000,07/10/2022,94.082001,
1665385200,10/10/2022,93.929001,
1665471600,11/10/2022,93.760002,
1665558000,12/10/2022,93.705002,
1665644400,13/10/2022,93.366997,
1665730800,14/10/2022,93.455002,
1665990000,17/10/2022,93.469002,
1666076400,18/10/2022,93.724998,
1666162800,19/10/2022,93.582001,
1666249200,20/10/2022,93.431999,
1666335600,21/10/2022,93.440002,
1666594800,24/10/2022,93.915001,
1666681200,25/10/2022,93.970001,
1666767600,26/10/2022,94.071999,
1666854000,27/10/2022,94.054001,
1666940400,28/10/2022,94.097,
1667203200,31/10/2022,94.063004,
1667289600,01/11/2022,94.117996,
1667376000,02/11/2022,94.158997,
1667462400,03/11/2022,93.827003,
1667548800,04/11/2022,93.837997,
1667808000,07/11/2022,93.890999,
1667894400,08/11/2022,93.816002,
1667980800,09/11/2022,93.727997,
1668067200,10/11/2022,93.564003,
1668153600,11/11/2022,94.079002,
1668412800,14/11/2022,94.033997,
1668499200,15/11/2022,94.438004,
1668585600,16/11/2022,94.556999,
1668672000,17/11/2022,94.140999,
1668758400,18/11/2022,94.240997,
1669017600,21/11/2022,94.099998,
1669104000,22/11/2022,94.166,
1669190400,23/11/2022,94.293999,
1669276800,24/11/2022,94.348,
1669363200,25/11/2022,94.383003,
1669622400,28/11/2022,94.347,
1669708800,29/11/2022,94.516998,
1669795200,30/11/2022,94.605003,
1669881600,01/12/2022,94.828003,
1669968000,02/12/2022,95.049004,
1670227200,05/12/2022,95.209,
1670313600,06/12/2022,95.121002,
1670400000,07/12/2022,94.917999,
1670486400,08/12/2022,95.153999,
1670572800,09/12/2022,95.225998,
1670832000,12/12/2022,95.138,
1670918400,13/12/2022,95.005997,
1671004800,14/12/2022,95.230003,
1671091200,15/12/2022,95.107002,
1671177600,16/12/2022,94.850998,
